time_center_iso,t_center_s,loc,R_660_940
2025-10-21T12:44:35.995,186.48,loc_5,1.10314964452682
2025-10-21T12:44:35.995,186.48,loc_6,2.8235401272253586
2025-10-21T12:44:35.995,186.48,loc_7,1.3844211146365113
2025-10-21T12:44:35.995,186.48,loc_8,1.858987238008086
2025-10-21T12:44:35.995,186.48,loc_9,2.04961369040478
2025-10-21T12:44:35.995,186.48,loc_10,0.9068177662606167
2025-10-21T12:44:35.995,186.48,loc_11,1.2171077542614757
2025-10-21T12:44:35.995,186.48,loc_12,1.2728835661129143
2025-10-21T12:44:36.802,187.48,loc_1,0.6008395749138878
2025-10-21T12:44:36.802,187.48,loc_2,0.720475913828181
2025-10-21T12:44:36.802,187.48,loc_3,1.1121636678731137
2025-10-21T12:44:36.802,187.48,loc_4,1.0987050695001763
2025-10-21T12:44:36.802,187.48,loc_5,1.0794940371318122
2025-10-21T12:44:36.802,187.48,loc_6,3.26061955727806
2025-10-21T12:44:36.802,187.48,loc_7,1.4579509965752073
2025-10-21T12:44:36.802,187.48,loc_8,1.8452875364732695
2025-10-21T12:44:36.802,187.48,loc_9,2.1146342950534667
2025-10-21T12:44:36.802,187.48,loc_10,0.8955205754039806
2025-10-21T12:44:36.802,187.48,loc_11,1.188550175867684
2025-10-21T12:44:36.802,187.48,loc_12,1.268506191201812
2025-10-21T12:44:37.673,188.48,loc_1,0.5837663894370503
2025-10-21T12:44:37.673,188.48,loc_2,0.6878457860416878
2025-10-21T12:44:37.673,188.48,loc_3,1.0646039301091206
2025-10-21T12:44:37.673,188.48,loc_4,1.115151983135509
2025-10-21T12:44:37.673,188.48,loc_5,1.085508184378377
2025-10-21T12:44:37.673,188.48,loc_6,3.1254901310649217
2025-10-21T12:44:37.673,188.48,loc_7,1.5191386236173123
2025-10-21T12:44:37.673,188.48,loc_8,1.9073431915759291
2025-10-21T12:44:37.673,188.48,loc_9,2.139397774789712
2025-10-21T12:44:37.673,188.48,loc_10,0.8531367716274461
2025-10-21T12:44:37.673,188.48,loc_11,1.244357945322593
2025-10-21T12:44:37.673,188.48,loc_12,1.2338113436169154
2025-10-21T12:44:38.452,189.48,loc_1,0.9000309779503605
2025-10-21T12:44:38.452,189.48,loc_2,0.7433775244168087
2025-10-21T12:44:38.452,189.48,loc_3,1.113672487810238
2025-10-21T12:44:38.452,189.48,loc_4,1.1163542223322285
2025-10-21T12:44:38.452,189.48,loc_5,1.0951049685328442
2025-10-21T12:44:38.452,189.48,loc_6,3.227906830422171
2025-10-21T12:44:38.452,189.48,loc_7,1.482478305443375
2025-10-21T12:44:38.452,189.48,loc_8,1.9463909864474407
2025-10-21T12:44:38.452,189.48,loc_9,2.2681157575360276
2025-10-21T12:44:38.452,189.48,loc_10,0.8879931925311153
2025-10-21T12:44:38.452,189.48,loc_11,1.1763458155507278
2025-10-21T12:44:38.452,189.48,loc_12,1.238179391368516
2025-10-21T12:44:39.349,190.48,loc_1,0.778963887314385
2025-10-21T12:44:39.349,190.48,loc_2,0.7478226881539674
2025-10-21T12:44:39.349,190.48,loc_3,1.0845439970416055
2025-10-21T12:44:39.349,190.48,loc_4,1.0804578565641831
2025-10-21T12:44:39.349,190.48,loc_5,1.1156253130441567
2025-10-21T12:44:39.349,190.48,loc_6,3.238975165703497
2025-10-21T12:44:39.349,190.48,loc_7,1.442845976020244
2025-10-21T12:44:39.349,190.48,loc_8,1.8641912860119143
2025-10-21T12:44:39.349,190.48,loc_9,2.074116153460344
2025-10-21T12:44:39.349,190.48,loc_10,0.8755306518557744
2025-10-21T12:44:39.349,190.48,loc_11,1.2066692132122745
2025-10-21T12:44:39.349,190.48,loc_12,1.3032432622507713
2025-10-21T12:44:40.104,191.48,loc_1,0.5907419800135296
2025-10-21T12:44:40.104,191.48,loc_2,0.7164790030655741
