t_center_s,R_art,R_vein,rho_hat,Sa_est,Sv_est,Sa_pct,Sv_pct
81.48,1.9770446078126562,1.019390072024163,6.249614685316813,0.9790193917510183,1.0,97.90193917510183,100.0
82.48,1.96140446931695,1.0326444357668665,6.251028257715553,0.9800278213474749,1.0,98.00278213474749,100.0
83.48,2.041980478669925,0.9908990780895176,6.261890631134582,0.9752069402170712,1.0,97.52069402170711,100.0
84.48,1.9618481106228858,0.9942028757963979,6.251028257715553,0.98,1.0,98.0,100.0
85.48,1.9652572020379984,0.9644901504293182,6.251028257715553,0.9797862335958354,1.0,97.97862335958354,100.0
86.48,1.9160179385863043,0.9667446173998212,6.104999776251879,0.98,1.0,98.0,100.0
87.48,1.873054561992805,0.9723742378932042,5.96810575286718,0.98,1.0,98.0,100.0
88.48,1.81978981812075,0.9628885692280674,5.934887308225089,0.9828330514269319,1.0,98.2833051426932,100.0
89.48,1.862629150336974,0.9435001613357199,5.92152414839074,0.9797223933591734,1.0,97.97223933591735,100.0
90.48,1.8084119598194115,0.9713210757939834,5.92152414839074,0.9833162955161435,1.0,98.33162955161436,100.0
91.48,1.8584352019508652,0.9806080040652249,5.934887308225089,0.9802770480274516,1.0,98.02770480274516,100.0
92.48,1.9678699966956072,0.97688533140667,5.92152414839074,0.9727780299754045,1.0,97.27780299754045,100.0
93.48,1.9281706823803662,0.9348895898832326,5.92152414839074,0.9753927005727681,1.0,97.53927005727681,100.0
94.48,1.7825291185205046,0.914341140095792,5.679664918878294,0.98,1.0,98.0,100.0
95.48,1.70921290636856,0.9450135567409984,5.446057785161423,0.98,1.0,98.0,100.0
96.48,1.673194535442016,0.9539035240440196,5.446057785161423,0.9825955027668222,1.0,98.25955027668222,100.0
97.48,1.6665993755434172,1.0096277988695797,5.446057785161423,0.9830713847805402,1.0,98.30713847805403,100.0
98.48,1.7317659232404272,0.996396598402921,5.5179183665180584,0.9799999999999998,1.0,97.99999999999997,100.0
99.48,1.9836207043916534,1.0196315124154611,6.320402180271216,0.9800000000000001,1.0,98.00000000000001,100.0
100.48,2.2516813113775838,0.9905744832215861,6.661497578991862,0.9705638053249123,1.0,97.05638053249123,100.0
101.48,2.245580125698175,0.9673127282132682,6.661497578991862,0.970919969149442,1.0,97.0919969149442,100.0
102.48,2.090671470431033,0.9792593615268689,6.661497578991862,0.9799999999999999,1.0,97.99999999999999,100.0
103.48,1.7127812982930322,0.9923506070821655,5.803289028050782,0.987355522537108,1.0,98.73555225371081,100.0
104.48,1.6947569315701898,0.9873224733777002,5.803289028050782,0.9885814551094773,1.0,98.85814551094772,100.0
105.48,1.8213278113128668,1.0339297110304326,5.803289028050782,0.9800000000000001,1.0,98.00000000000001,100.0
106.48,1.8336883460048712,1.0466512114688404,5.8426733469599865,0.98,1.0,98.0,100.0
107.48,1.9111402706097396,1.0180525202167108,6.03948636350654,0.9789824881698238,1.0,97.89824881698237,100.0
108.48,1.8954569429043118,1.0413729227632065,6.089458083605969,0.9810100472126826,1.0,98.10100472126825,100.0
109.48,2.1035265049050103,1.0508708642111306,6.702457520444835,0.9799999999999998,1.0,97.99999999999997,100.0
110.48,2.261534096652217,1.0664652104171948,7.205916435330847,0.98,1.0,98.0,100.0
111.48,2.4378896393774974,1.008660428505879,7.368149521890272,0.9733454747995002,1.0,97.33454747995002,100.0
112.48,2.527674298054975,0.9935899498838356,7.368149521890272,0.9686059056034613,1.0,96.86059056034613,100.0
113.48,2.31244998780249,1.0160611468742489,7.368149521890272,0.9800000000000001,1.0,98.00000000000001,100.0
114.48,2.233849467131483,1.0048124810774068,7.162816569247212,0.9807750966023682,1.0,98.07750966023681,100.0
