t_center_s,R_art,R_vein,rho_hat,Sa_est,Sv_est,Sa_pct,Sv_pct
29.48,2.6420913055273627,1.5369048155704057,9.7079007731846,0.9964571461548125,1.0,99.64571461548125,100.0
30.48,3.6031667384663453,1.609015804838382,10.16140609402608,0.9641356612755492,1.0,96.41356612755492,100.0
31.48,3.440581224647,1.6083857480602262,10.16140609402608,0.9703388043140929,1.0,97.03388043140929,100.0
32.48,3.189096981321641,1.5808976836294606,10.16140609402608,0.9799999999999999,1.0,97.99999999999999,100.0
33.48,2.56849977670932,1.291111037162263,8.89008961233835,0.9898129462376328,1.0,98.98129462376329,100.0
34.48,2.539713795419966,1.0111955152474261,8.89008961233835,0.9910937584298862,1.0,99.10937584298863,100.0
35.48,2.7901018504766735,0.9425938572369816,8.89008961233835,0.9799999999999999,1.0,97.99999999999999,100.0
36.48,2.845586920543198,0.8965097419249977,8.89008961233835,0.9775559892727772,1.0,97.75559892727772,100.0
37.48,3.2799760993507436,0.9838445058624307,8.89008961233835,0.9585990856360875,1.0,95.85990856360876,100.0
38.48,2.458032404391893,1.1199469896132803,8.064257189358981,0.9835484869169782,1.0,98.35484869169781,100.0
39.48,2.5309192469244564,1.1246721534073516,7.832018154226921,0.976357637468134,1.0,97.6357637468134,100.0
40.48,1.9372935998390532,1.1268614630725722,7.702900447351132,1.0,1.0,100.0,100.0
41.48,2.3489903766784734,1.1750994460913957,7.702900447351132,0.9834922546618916,1.0,98.34922546618915,100.0
42.48,2.417509578572066,1.0766186650746898,7.702900447351132,0.9799999999999999,1.0,97.99999999999999,100.0
43.48,3.186819002023045,1.01382307946815,7.702900447351132,0.9415012275017769,1.0,94.15012275017769,100.0
44.48,2.8048532154538623,0.9839771109220968,7.702900447351132,0.9604544625529822,1.0,96.04544625529822,100.0
45.48,2.059903729260861,1.139108626343478,6.563462456680706,0.9799999999999999,1.0,97.99999999999999,100.0
46.48,1.8639674848624104,1.1569391263336457,6.11089713376956,0.983462873974548,1.0,98.3462873974548,100.0
47.48,1.5448373269195672,1.1200631161634864,6.11089713376956,1.0,1.0,100.0,100.0
48.48,1.9178687892346675,0.9663042332836889,6.11089713376956,0.98,1.0,98.0,100.0
49.48,2.166656843408623,1.0565013171958835,6.86098300017975,0.9792358905086237,1.0,97.92358905086238,100.0
50.48,2.321848758210642,1.1162099135787644,6.86098300017975,0.9704086232764838,1.0,97.04086232764838,100.0
51.48,2.153278785662926,1.0913797293995748,6.86098300017975,0.9799999999999999,1.0,97.99999999999999,100.0
52.48,2.0303487319204314,1.0617194728994725,6.86098300017975,0.9870450722354669,1.0,98.70450722354668,100.0
53.48,1.840642830731987,1.0620152736126305,6.86098300017975,0.9980016890919353,1.0,99.80016890919353,100.0
54.48,2.333405569787343,1.0813117280809794,7.368234834784607,0.9788870789915673,1.0,97.88870789915674,100.0
55.48,2.312476762747933,1.0593257004187535,7.434920203287518,0.9811039970269405,1.0,98.11039970269405,100.0
56.48,3.1498566300458433,0.9616922987963421,8.579222103440529,0.9592911445949827,1.0,95.92911445949827,100.0
57.48,2.971150949887295,0.9201866076462538,8.579222103440529,0.9673391972865791,1.0,96.73391972865791,100.0
58.48,2.6925379282159674,0.9409933031380093,8.579222103440529,0.98,1.0,98.0,100.0
59.48,2.1816862058886985,0.9318638050913972,7.555257068019848,0.9898735153881385,1.0,98.98735153881385,100.0
60.48,2.371172580426274,0.9290929869787103,7.555257068019848,0.9800000000000001,1.0,98.00000000000001,100.0
61.48,2.3400070752635007,0.9335421469761754,7.555257068019848,0.9816181589794573,1.0,98.16181589794573,100.0
62.48,2.652606307778726,1.4539898883744926,7.985691497796768,0.972838420352432,1.0,97.2838420352432,100.0
63.48,2.5062618710182023,1.4466880121011352,7.985691497796768,0.9800000000000001,1.0,98.00000000000001,100.0
64.48,2.734045864659067,1.2606284213340624,7.985691497796768,0.9688722370740638,1.0,96.88722370740638,100.0
65.48,2.4940954806808238,1.1759930716203564,7.946925780215705,0.9800000000000001,1.0,98.00000000000001,100.0
66.48,2.278812492018437,1.268839643823567,7.260970512706863,0.98,1.0,98.0,100.0
67.48,1.9448365941491292,1.2299458454483128,7.260970512706863,0.9981724277925238,1.0,99.81724277925238,100.0
68.48,2.1294959349234612,0.8716045790932411,7.260970512706863,0.9880895164044172,1.0,98.80895164044172,100.0
69.48,2.5070722518282706,0.9626648505458747,7.915706017353644,0.9788726789882004,1.0,97.88726789882004,100.0
70.48,2.518882104109477,0.9947015193795434,7.915706017353644,0.9782885431695454,1.0,97.82885431695453,100.0
71.48,2.4842973434368547,1.0407677464370997,7.915706017353644,0.98,1.0,98.0,100.0
72.48,2.1876711618797446,1.034707763964797,6.970567281662713,0.9799999999999999,1.0,97.99999999999999,100.0
73.48,2.1766189871303805,1.0990559500322896,6.935351784451998,0.9799999999999999,1.0,97.99999999999999,100.0
74.48,2.001740322950097,0.9686773724172894,6.782697662794785,0.9873615365903304,1.0,98.73615365903305,100.0
75.48,2.1287093972509314,0.9579413768884748,6.392016457551176,0.9725048412973099,1.0,97.25048412973098,100.0
76.48,2.006096420191194,0.9808759832986315,6.392016457551176,0.9800000000000001,1.0,98.00000000000001,100.0
77.48,1.992805110411768,1.1823239674353738,6.392016457551176,0.980815408910367,1.0,98.0815408910367,100.0
78.48,2.0608275697216003,1.2072061446109137,6.3496664139553625,0.9758081498432496,1.0,97.58081498432496,100.0
79.48,1.9512456790638524,1.24847635504089,6.217245775311769,0.98,1.0,98.0,100.0
80.48,1.805348752924033,1.1914731663057043,5.7523750225375965,0.9799999999999999,1.0,97.99999999999999,100.0
81.48,1.072640331778108,1.2251570872340867,3.5156772638433567,0.9834320072650892,0.9665002515746163,98.34320072650891,96.65002515746163
82.48,1.1033744390961253,1.1983887220291827,3.5061894596341263,0.9796671303915283,0.9690957824566194,97.96671303915284,96.90957824566195
83.48,1.0974190570391447,1.2344861879065059,3.4967016554248955,0.9800000000000001,0.9647352253999525,98.00000000000001,96.47352253999524
